doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
,hal-01518094,in,,Le même et le différent,COUV,file,True,2017-05-19 19:18:38,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01518097,in,,Parcours de lecture de la place Sainte-Claire,COUV,file,True,2017-09-14 14:32:58,,True,['0.shs'],1998,1998.0,,False,,,,,,,,,,,1.0,
,hal-01535908,in,,Soundspaces,DOUV,file,True,2017-06-17 17:18:47,,True,"['0.scco', '0.sde', '0.shs', '0.spi']",2014-12,2014.0,,False,,,,,,,,,,,5.0,
,hal-01552932,in,,Squaring the Circle,COUV,file,True,2017-07-03 12:24:49,,True,"['0.math', '0.spi']",2000,2000.0,,False,,,,,,,,,,,1.0,
,hal-01555295,in,,Balcony form; An approach to reduce sound pressure level into the building façade,COUV,notice,False,2017-07-03 23:41:04,,True,"['0.spi', '0.shs', '0.phys']",2003,2003.0,,False,,,,,,,,,,,2.0,
,hal-01561162,in,,Ambiance architecturale et urbaine,COUV,file,True,2017-07-12 14:16:21,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-01561723,in,,Ambiances urbaines et espaces publics,COUV,file,True,2017-07-13 11:35:06,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2003,2003.0,,False,,,,,,,,,,,1.0,
,hal-01561759,in,,L'Identité sonore urbaine,COUV,file,True,2017-07-13 11:52:16,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2003,2003.0,,False,,,,,,,,,,,1.0,
,hal-01566980,in,,The included third as urban project,COUV,file,True,2017-07-21 14:56:46,http://creativecommons.org/licenses/by-nc-nd/,False,['0.shs'],2000,2000.0,,False,,,,,,,,,,,1.0,
,hal-01590961,in,,Les mondes de l'architecture,DOUV,file,True,2017-09-20 15:02:43,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2015,2015.0,Lieux Communs - Les Cahiers du LAUA,1779-5885,"LAUA (Langages, Actions Urbaines, Altérités - Ecole Nationale Supérieure d'Architecture de Nantes)",,,,,,,,,,2.0,
,hal-01640585,in,,Les espaces-temps de la mobilité labile,COUV,notice,False,2017-11-20 18:29:37,,False,['0.shs'],2014,2014.0,,False,,,,,,,,,,,2.0,
,hal-01640639,in,,"Entre urbanité, ambiances et pragmatisme : une écologie de l'ordre public",COUV,notice,False,2017-11-20 18:30:54,,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,2.0,
,hal-01653048,in,,"Parcourir pour projeter A l'entour du cimetière, un parcours au Crêt-de-Roch (Saint-Etienne) Lectures du site & enjeux de projet",COUV,file,True,2017-12-01 08:09:36,,True,"['0.shs', '0.sde']",2003,2003.0,,False,,,,,,,,,,,1.0,
,hal-01735431,in,,Villeneuve Échirolles en projets,COUV,file,True,2018-03-16 12:03:47,,True,['0.shs'],2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-01812149,in,,"City, Architecture and Cinema. [coord. du dossier, N°34 Revue La Furia Umana]",DOUV,notice,False,2018-06-11 12:04:42,,True,['0.shs'],2018-06-12,2018.0,La Furia Umana,2255-2812,Duen de Bux,,,,,,,,,,2.0,
,hal-01812771,in,,"Virtual Reality, Augmented Reality: myths and realities",DOUV,notice,False,2018-06-11 18:14:21,,True,['0.info'],2018-03-26,2018.0,,False,,,,,,,,,,,3.0,
,hal-01846886,in,,Dockers à Nantes. L'expérience des itinéraires,DOUV,notice,False,2018-07-23 08:54:20,,True,"['0.shs', '0.sde']",2018-09,2018.0,,False,,,,,,,,,,,5.0,
,hal-01879570,in,,Des ambiances en passant,COUV,notice,False,2018-09-24 09:44:27,,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,3.0,
,hal-01879784,in,,The Sonic Attunement of Social Life,COUV,notice,False,2018-09-24 12:04:47,,False,['0.shs'],2017,2017.0,,False,,,,,,,,,,,1.0,
,hal-01879788,in,,Smellscape Design and Monitoring,COUV,notice,False,2018-09-24 12:04:50,,False,['0.shs'],2017,2017.0,,False,,,,,,,,,,,1.0,
,hal-01879790,in,,Heuristique et potentialités du sensible,COUV,file,True,2021-06-01 11:37:16,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,2.0,
,hal-01879792,in,,Imprégnations de Tokyo,COUV,file,True,2021-06-01 11:43:57,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01879793,in,,Prises et emprises de la ville sonore,COUV,notice,False,2018-09-24 12:04:55,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01879795,in,,Installing an Atmosphere,COUV,notice,False,2018-09-24 12:04:56,,False,['0.shs'],2014,2014.0,,False,,,,,,,,,,,1.0,
,hal-01879803,in,,Prologue,COUV,notice,False,2018-09-24 12:15:05,,False,['0.shs'],2004,2004.0,,False,,,,,,,,,,,2.0,
,hal-01879811,in,,Visions pratiques en milieu urbain,COUV,notice,False,2018-09-24 12:15:11,,False,['0.shs'],2002,2002.0,,False,,,,,,,,,,,1.0,
,hal-01906640,in,,"Déplacement des mégalithes extraordinaires sur le littoral morbihanais, modèles d'embarcations et questions relatives à la navigation atlantique dès le V ème millénaire AVJC",COUV,file,True,2019-07-17 15:25:40,,True,['0.shs'],2016-11-15,2016.0,,False,,,,,,,,,,,7.0,
,hal-01913383,in,,SHS Web of Conferences - Proceedings SCAN’18 – 8e Séminaire de Conception Architecturale Numérique,DOUV,notice,False,2018-11-06 11:38:56,,True,"['0.info', '0.shs', '0.sde']",2018-10-23,2018.0,SHS Web of Conferences,2261-2424,EDP Sciences,,,,,,,,,,2.0,
,hal-01931440,in,,"Architecture Pratiques plurielles de la recherche. [coord. du dossier Représentations, N°138 Culture et Recherche]",DOUV,file,True,2018-11-22 17:51:26,http://creativecommons.org/licenses/by-nc-nd/,True,"['0.shs', '0.sde']",2018-11,2018.0,Culture et recherche,"0765-5991,1950-629",Paris : Ministère de la Culture et de la Communication,,,,,,,,,,2.0,
,hal-01935153,in,,Les compositions gravées en Beauce et Gâtinais,COUV,notice,False,2018-11-26 14:56:56,,False,['0.shs'],2017,2017.0,,False,,,,,,,,,,,4.0,
,hal-01961113,in,,Penser depuis la frontière. Introduction,COUV,notice,False,2018-12-19 17:03:15,,True,['0.shs'],2018,2018.0,,False,,,,,,,,,,,3.0,
